EstacaoCodigo;Data;Maxima;Minima;Media
60855000;01/07/2019;26.57;22.27;24.57
60855000;01/06/2019;39.67;27.32;32.68
60855000;01/05/2019;53.00;40.57;45.59
60855000;01/04/2019;119.76;45.17;66.79
60855000;01/03/2019;193.91;59.23;95.10
60855000;01/02/2019;198.18;30.42;80.26
60855000;01/01/2019;102.89;32.83;53.14
60855000;01/12/2018;124.89;35.33;67.16
60855000;01/11/2018;261.29;30.42;91.49
60855000;01/10/2018;50.00;9.15;23.97
60855000;01/09/2018;20.64;9.52;13.40
60855000;01/08/2018;14.77;12.40;13.08
60855000;01/07/2018;19.12;13.32;16.49
60855000;01/06/2018;39.67;27.32;30.83
60855000;01/05/2018;39.23;27.32;30.98
60855000;01/04/2018;68.01;34.49;46.10
60855000;01/03/2018;102.89;41.92;60.72
60855000;01/02/2018;133.15;61.37;81.84
60855000;01/01/2018;817.09;74.94;334.53
60855000;01/12/2017;121.22;37.91;57.47
60855000;01/11/2017;63.55;12.18;34.57
60855000;01/10/2017;15.27;8.26;11.32
60855000;01/09/2017;11.96;8.09;10.13
60855000;01/08/2017;16.85;11.53;14.77
60855000;01/07/2017;26.95;15.79;19.62
60855000;01/06/2017;35.33;25.83;29.88
60855000;01/05/2017;69.14;34.91;46.18
60855000;01/04/2017;83.41;40.57;49.95
60855000;01/03/2017;147.97;46.12;69.86
60855000;01/02/2017;115.43;40.57;65.76
60855000;01/01/2017;297.56;38.78;82.53
60855000;01/12/2016;104.25;15.79;58.07
60855000;01/10/2016;24.38;8.79;17.54
60855000;01/09/2016;15.79;9.90;12.16
60855000;01/08/2016;22.96;15.02;17.48
60855000;01/07/2016;27.32;19.12;22.47
60855000;01/06/2016;58.17;27.32;36.35
60855000;01/05/2016;44.23;30.42;34.95
60855000;01/04/2016;79.73;33.66;44.33
60855000;01/03/2016;369.59;217.79;272.34
60855000;01/02/2016;399.37;226.71;269.76
60855000;01/01/2016;865.28;50.00;266.32
60855000;01/12/2015;82.17;22.96;39.78
60855000;01/11/2015;76.13;15.79;31.94
60855000;01/10/2015;15.79;8.09;10.69
60855000;01/09/2015;28.85;11.96;16.81
60855000;01/08/2015;19.12;13.79;15.97
60855000;01/07/2015;32.02;19.12;25.16
60855000;01/06/2015;41.47;28.85;33.01
60855000;01/05/2015;107.00;36.18;49.41
60855000;01/04/2015;163.48;46.12;67.54
60855000;01/03/2015;125.63;56.07;79.67
60855000;01/02/2015;75.53;28.85;50.81
60855000;01/01/2015;59.23;19.12;31.25
60855000;01/04/2009;200.52;69.26;103.70
60855000;01/04/2009;158.20;68.06;100.21
60855000;01/12/2014;105.91;43.06;62.51
60855000;01/11/2014;487.58;12.23;46.25
60855000;01/10/2014;15.57;7.02;9.64
60855000;01/09/2014;39.41;9.77;12.48
60855000;01/08/2014;27.81;11.38;15.36
60855000;01/07/2014;46.85;15.06;20.22
60855000;01/06/2014;24.83;17.71;20.71
60855000;01/05/2014;34.22;24.83;27.33
60855000;01/04/2014;85.97;34.22;50.94
60855000;01/03/2014;124.69;37.64;57.76
60855000;01/02/2014;110.12;18.27;34.52
60855000;01/01/2014;58.00;28.58;37.66
60855000;01/12/2013;89.81;40.31;59.57
60855000;01/11/2013;138.48;22.69;46.69
60855000;01/10/2013;45.89;19.43;30.58
60855000;01/09/2013;24.11;18.85;21.59
60855000;01/08/2013;33.38;23.40;27.66
60855000;01/07/2013;48.79;34.22;39.37
60855000;01/06/2013;135.36;46.85;62.00
60855000;01/05/2013;187.31;46.85;60.51
60855000;01/04/2013;358.97;64.53;117.05
60855000;01/03/2013;129.21;55.89;82.00
60855000;01/02/2013;220.01;64.53;106.16
60855000;01/01/2013;320.11;33.38;76.79
60855000;01/12/2012;143.23;22.00;45.54
60855000;01/11/2012;45.89;16.09;27.41
60855000;01/10/2012;26.30;17.16;20.19
60855000;01/09/2012;40.31;19.43;24.23
60855000;01/08/2012;35.91;25.56;30.07
60855000;01/07/2012;48.79;35.91;43.40
60855000;01/06/2012;110.12;44.93;59.13
60855000;01/05/2012;84.70;54.85;63.12
60855000;01/04/2012;100.41;65.65;81.62
60855000;01/03/2012;166.30;65.65;98.49
60855000;01/02/2012;204.64;77.30;121.03
60855000;01/01/2012;396.63;107.30;199.06
60855000;01/12/2011;287.72;42.13;86.96
60855000;01/11/2011;152.93;29.35;53.70
60855000;01/10/2011;74.90;24.83;42.86
60855000;01/09/2011;33.38;25.56;29.96
60855000;01/08/2011;47.82;34.22;41.07
60855000;01/07/2011;61.22;46.85;53.05
60855000;01/06/2011;87.24;61.22;68.50
60855000;01/05/2011;117.30;72.54;86.78
60855000;01/04/2011;222.24;95.04;137.91
60855000;01/03/2011;607.09;164.61;332.56
60855000;01/02/2011;133.81;65.65;89.65
60855000;01/01/2011;204.64;65.65;107.07
60855000;01/12/2010;164.61;48.79;76.05
60855000;01/11/2010;144.82;39.41;66.68
60855000;01/10/2010;111.54;30.94;54.68
60855000;01/09/2010;59.07;22.69;27.20
60855000;01/08/2010;38.52;27.81;32.86
60855000;01/07/2010;48.79;37.64;44.43
60855000;01/06/2010;65.65;45.89;54.84
